thisRow.t,notes,test_stage_page.start,test_stage_page.stop,Trial,Game,fixation.start,fixation.stop,new_round.start,new_round.stop,step,Mover,choice.start,choice.stop,choice,choice.rt,missed,show_choice.start,show_choice.stop,win_page.start,win_page.stop,accumulated_reward,reward.start,reward.stop,participant,treatment,date,expName,psychopyVersion,frameRate,
,,11.14744087500003,17.721307604666677,1,7,17.738715411000157,25.237467732666815,25.23628098900008,29.239184819666676,,,,,,,,,,,,,,,23092300,test,2023-09-23-0017,Race Game,2023.1.3,None,
,,,,1,7,29.231167974000073,30.231189462666876,,,1,subject,30.2527980870002,41.82321883566671,3,11.544101816999955,False,41.82330404700019,43.82800181466679,,,,,,23092300,test,2023-09-23-0017,Race Game,2023.1.3,None,
,,,,1,7,43.81677835200003,45.82000963166685,,,2,subject,45.82663611000021,49.26676888266685,3,3.422279650999826,False,49.27064667400009,51.27607228566673,,,,,,23092300,test,2023-09-23-0017,Race Game,2023.1.3,None,
,,,,1,7,51.26649539600021,52.76982239966675,,,3,subject,52.76876282100011,53.519369855666824,1,0.7295571469996958,False,53.516759282000066,55.52371550666682,,,,,,23092300,test,2023-09-23-0017,Race Game,2023.1.3,None,
,,,,1,7,,,,,,,,,,,,,,55.518726238,59.53053119666676,20,,,23092300,test,2023-09-23-0017,Race Game,2023.1.3,None,
,,,,2,5,59.52018117800003,64.01986483966677,64.02109669700008,68.02038051166666,,,,,,,,,,,,,,,23092300,test,2023-09-23-0017,Race Game,2023.1.3,None,
,,,,2,5,68.01359913100009,70.01356234266679,,,1,subject,70.01343960500003,74.4887331616667,2,4.457590796999966,False,74.48791742800017,76.49202113666685,,,,,,23092300,test,2023-09-23-0017,Race Game,2023.1.3,None,
,,,,2,5,76.49677936500007,78.99690837366667,,,2,subject,79.00048733400013,80.0635351606668,1,1.0462044579999201,False,80.06266309800003,82.06636912666683,,,,,,23092300,test,2023-09-23-0017,Race Game,2023.1.3,None,
,,,,2,5,82.06330223700002,85.06325599466687,,,3,subject,85.06542920800007,85.65210903866684,2,0.5601225149998754,False,85.650517563,87.65474907566683,,,,,,23092300,test,2023-09-23-0017,Race Game,2023.1.3,None,
,,,,2,5,,,,,,,,,,,,,,87.64921169600007,91.65505119666683,40,,,23092300,test,2023-09-23-0017,Race Game,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,40,91.66403339300018,96.66299441866683,,,,,,,
